"id","dam","sire","Year"
1141579,5079740,5092056,1983
1141591,5079704,5079782,1983
1141592,1436920,6843582,1983
1141593,5078520,5079703,1983
1141594,5054041,6843581,1983
1141595,1141551,1141585,1983
1141596,5087503,5087667,1983
1141597,1405762,6843679,1983
1141598,5079702,5079797,1983
1141599,5054039,6831942,1983
1141600,2869762,6843566,1983
1141932,6843544,6843763,1983
1141933,6843516,6843700,1983
1141934,1138515,5078545,1983
1141935,6843670,6843751,1983
1141936,1333570,1405780,1983
1141937,1138026,5078538,1983
1141938,1138061,5092045,1983
1141939,6843625,6843631,1983
1141940,5079800,6843657,1983
1141941,1371803,6843731,1983
1141942,1141581,2869722,1983
1141943,5078503,5078541,1983
1141945,5087521,5092055,1983
1141947,5079736,6843629,1983
1141948,5079735,5087523,1983
1141949,5092168,5092169,1983
1141951,6843740,6843772,1983
1141952,2869720,5054048,1983
1141953,1141202,1141227,1983
1141954,1141229,5092097,1983
1141955,6843641,6843724,1983
1141956,6831933,6843643,1983
1141957,5087524,5087681,1983
1141958,5079749,6843617,1983
1141959,5078529,5092044,1983
1141960,1138952,5079755,1983
1141961,5054027,6843648,1983
1141962,1141208,1141586,1983
1141963,1141224,6843743,1983
1141964,6843583,6843760,1983
1141965,6843615,6843730,1983
1141966,6843611,6843785,1983
1141967,5092064,6843620,1983
1141968,1141561,5079791,1983
1141969,5078527,5079747,1983
1141972,5079721,5092063,1983
1141973,5087675,6843556,1983
1141974,6843603,6843666,1983
1141975,1138063,6843542,1983
1141976,1141562,1141583,1983
1141977,6843545,6843735,1983
1141978,1141209,5087668,1983
1141979,6808772,6843529,1983
1141980,6808753,6843702,1983
1141981,1131192,5078543,1983
1141982,6843565,6843752,1983
1141983,5079741,5079795,1983
1141984,5079793,6843561,1983
1141985,5087515,6808770,1983
1141986,1436692,NA,1983
1141987,6843510,6843782,1983
1141988,6843530,6843727,1983
1141989,6843537,6843587,1983
1141990,6843527,6843579,1983
1141991,5079705,5092061,1983
1141992,5054038,6808973,1983
1141993,6843555,6843690,1983
1141994,6843678,6843792,1983
1141995,2869756,6843550,1983
1141996,1147757,6843514,1983
1141997,5079710,6843557,1983
1141998,1141564,5087512,1983
1141999,6843597,6843788,1983
1142000,5087671,6843575,1983
1145001,5054034,5087514,1983
1145002,6843594,6843689,1983
1145003,6843559,6843746,1983
1145004,6843574,6843675,1983
1145005,5079713,6843549,1983
1145006,2869635,5078524,1983
1145007,1141205,1141226,1983
1145008,1141225,5078528,1983
1145009,1138031,1141210,1983
1145783,5079723,6843656,1984
1145784,5078537,5079732,1984
1145786,5078511,5079724,1984
1145791,1141222,5087678,1984
1145792,1145754,6843704,1984
1145795,2869698,5079728,1984
1145797,5078507,5079729,1984
1145799,5079726,5079731,1984
1145851,1146947,6843616,1984
1145852,5087521,5092055,1984
1145854,2869720,5054048,1984
1145858,6843591,6843664,1984
1145861,1141568,1141574,1984
1145863,6808989,6843676,1984
1145864,6843551,6843744,1984
1146951,5079740,5092056,1985
1146952,5079704,5079782,1985
1146953,1436920,6843582,1985
1146954,1141551,1141585,1985
1146955,5078520,5079703,1985
1146956,5054041,6843581,1985
1146957,5087503,5087667,1985
1146959,5054039,6831942,1985
1146960,6843536,6843706,1985
1146961,1141211,1145752,1985
1146962,2869762,6843566,1985
1146963,5079723,6843656,1985
1146964,6843630,6843751,1985
1146965,5079722,6843511,1985
1146966,6843625,6843631,1985
1146967,5079800,6843657,1985
1146969,5092045,6843703,1985
1146970,5078537,5079732,1985
1146971,1138032,5092098,1985
1146973,1141581,2869722,1985
1146974,1371803,6843731,1985
1146975,5079727,6843619,1985
1146976,5078505,5087679,1985
1146977,1145754,6843704,1985
1146978,2869698,5079728,1985
1146979,5092046,6843762,1985
1146980,5078504,6843722,1985
1146981,1141556,6808953,1985
1146982,5078507,5079729,1985
1146983,6809052,6843725,1985
1146984,5078503,5078532,1985
1146985,5078533,5087522,1985
1146986,5079726,5079731,1985
1146987,1146947,6843616,1985
1146988,1141232,5087521,1985
1146989,1145758,1146948,1985
1146990,5092168,5092169,1985
1146991,6843740,6843772,1985
1146992,1141202,1141227,1985
1146993,1141236,1146886,1985
1146994,6843624,6843732,1985
1146995,1141557,6843777,1985
1146996,5092002,6808775,1985
1146997,6843649,6843729,1985
1146998,5079735,6843643,1985
1146999,1138053,1141590,1985
1147000,1141234,1145757,1985
1147001,5087524,5087681,1985
1147002,6843601,6843633,1985
1147003,5078529,5092044,1985
1147004,6843583,6843760,1985
1147005,6843553,6843714,1985
1147006,1145777,6843592,1985
1147007,1141560,1141582,1985
1147008,5078527,5079747,1985
1147009,1141228,1141559,1985
1147010,5079721,5092063,1985
1147011,6843603,6843666,1985
1147012,5092170,6808909,1985
1147013,5087675,6843556,1985
1147014,1131193,5092075,1985
1147016,1141235,1145767,1985
1147017,5079798,6843521,1985
1147018,1131192,5078543,1985
1147019,5079741,5079795,1985
1147020,5079793,6843561,1985
1147021,1405786,6808986,1985
1147022,1141587,1436692,1985
1147023,1138956,6843558,1985
1147024,1138029,1141204,1985
1147025,2869756,6843550,1985
1147026,5092062,NA,1985
1147027,1141564,5087512,1985
1147028,1141209,5087668,1985
1147029,2869669,6843531,1985
1147030,5054030,5078522,1985
1147031,1371802,6843534,1985
1147032,5087671,6843557,1985
1147033,1141250,6843702,1985
1147034,5087507,5087670,1985
1147035,2867113,6808984,1985
1147036,1145770,1145778,1985
1147037,6843530,6843727,1985
1147038,5079709,5092167,1985
1147039,5087504,5087669,1985
1147040,1141565,1145771,1985
1147041,1141239,6843579,1985
1147042,5079705,5092061,1985
1147043,5079708,6843543,1985
1147045,1141566,1141589,1985
1147046,1141205,1141226,1985
1147047,5054034,5087514,1985
1147048,1141206,1145763,1985
1147049,2869635,5078524,1985
1147050,6843594,6843689,1985
1147051,6843559,6843746,1985
1147052,1141567,6843570,1985
1147053,5079713,6843549,1985
1147054,6843574,6843675,1985
1147055,1141568,1141574,1985
1147056,6843551,6843744,1985
1147057,6808989,6843676,1985
1147058,2869651,6843505,1985
1147059,5087511,6843580,1985
1147060,5087509,6843560,1985
1147061,1141225,5078528,1985
1147062,5078525,6843660,1985
1147063,1141242,1141570,1985
1147064,1141562,1141583,1985
1147065,1146950,6843563,1985
1147910,6843538,6843568,1986
1147911,1436920,6843582,1986
1147912,5079704,5079782,1986
1147913,5078520,5079703,1986
1147914,5054041,6843581,1986
1147915,1405762,6843679,1986
1147916,6843544,6843763,1986
1147917,5087517,6843519,1986
1147918,1138515,5078545,1986
1147919,6843625,6843631,1986
1147920,6843630,6843751,1986
1147921,5092045,6843703,1986
1147922,5078537,5079732,1986
1147923,5078539,6843741,1986
1147924,1141222,5087678,1986
1147925,1145779,5087510,1986
1147926,2869698,5079728,1986
1147927,5078507,5079729,1986
1147928,6809052,6843725,1986
1147929,1141232,5087521,1986
1147930,1141581,2869722,1986
1147931,1145758,1146948,1986
1147932,5079735,6843643,1986
1147933,6843740,6843772,1986
1147934,1141202,1141227,1986
1147935,1138027,5078515,1986
1147937,5079753,5087528,1986
1147938,1436923,6808770,1986
1147939,5079793,6843561,1986
1147940,5079741,5079795,1986
1147941,1131192,5078543,1986
1147942,1141220,6843776,1986
1147943,2869754,6843598,1986
1147944,5092170,6808909,1986
1147945,1138029,1141204,1986
1147946,1141587,1436692,1986
1147947,1147757,5092062,1986
1147948,2869669,6843531,1986
1147949,5054030,5078522,1986
1147950,1146945,1463852,1986
1148051,1141209,5087668,1986
1148052,5087507,5087670,1986
1148053,1141205,1141226,1986
1148054,1141246,6843792,1986
1148055,5087504,5087669,1986
1148056,1145756,1145776,1986
1148057,5079708,6843543,1986
1148058,1146887,1146949,1986
1148059,1146950,6843563,1986
1148060,2869635,5078524,1986
1148061,5079713,6843549,1986
1148062,1141242,1141570,1986
1148064,6808989,6843676,1986
1148065,1145772,2869741,1986
1148066,2869651,6843505,1986
1148067,5087511,6843580,1986
1148639,1141564,5087512,1986
1181151,5087503,5087667,1987
1181152,6843516,6843700,1987
1181153,1138515,5078545,1987
1181154,1141243,1146882,1987
1181155,5079800,6843657,1987
1181156,5087520,6843602,1987
1181157,1145754,6843704,1987
1181158,1141581,2869722,1987
1181159,6809052,6843725,1987
1181160,5087524,5087681,1987
1181161,1138053,1141590,1987
1181162,6843601,6843633,1987
1181163,5092002,6808775,1987
1181164,1141557,6843777,1987
1181165,6843624,6843732,1987
1181167,5078932,5092169,1987
1181620,2869698,5078505,1988
1230806,1436692,6843782,1989
1230807,5078520,5079703,1989
1230808,1146945,1463852,1989
1230809,1141564,6843563,1989
1230810,1141209,5087668,1989
1230811,1145763,1146921,1989
1230812,1138956,5087671,1989
1230813,5087507,5087670,1989
1230814,5054034,6843555,1989
1230815,1145779,5087504,1989
1230816,1141242,1141570,1989
1230817,5078525,6843660,1989
1230818,1141568,1141574,1989
1230819,5079713,6843600,1989
1230820,1145772,2869741,1989
1230821,1141225,5078528,1989
1230822,2869651,6843505,1989
1230823,5087511,6843580,1989
1230824,1141201,1145764,1989
1230825,1141240,5092169,1989
1230826,1138032,5092045,1989
1230827,5078539,6843741,1989
1230828,1141218,5078903,1989
1230829,1141581,2869722,1989
1230830,5078504,6843762,1989
1230831,1146907,5079729,1989
1230832,5078533,9999997,1989
1230833,1141238,5078863,1989
1230834,5087755,6843643,1989
1230835,1138053,2869755,1989
1230836,1138027,5078515,1989
1230837,5078514,6843633,1989
1230838,1145773,5092002,1989
1230839,1141557,6843777,1989
1230840,1141236,1146886,1989
1230841,1141208,6843743,1989
1230842,1145777,6843592,1989
1230843,1141586,1405768,1989
1230844,1141558,1145761,1989
1254952,5054040,6843547,1990
1254953,1436692,6843782,1990
1254955,1145769,6808975,1990
1254956,5079705,5087669,1990
1254957,5079740,5092056,1990
1254958,1146945,1463852,1990
1254959,1141564,6843530,1990
1254960,1138028,1147757,1990
1254961,5054030,5078522,1990
1254962,1138956,5087671,1990
1254963,1141209,5087668,1990
1254965,5087507,5087670,1990
1254966,5054034,6843555,1990
1254967,1141566,5078525,1990
1254968,6843543,6843690,1990
1254969,1146887,1146949,1990
1254970,6843594,6843689,1990
1254971,1141237,1146883,1990
1254972,2869635,5078524,1990
1254973,1141242,1141570,1990
1254974,1141568,1141574,1990
1254975,1141210,6808989,1990
1254976,6843549,6843746,1990
1254977,1131609,1141588,1990
1254978,1138984,6843589,1990
1254979,2869651,6843505,1990
1254980,1141225,5078528,1990
1254981,1145772,2869741,1990
1254982,1141205,1141226,1990
1254985,5054031,5054033,1990
1254986,1146946,6843749,1990
1254987,1139745,1146919,1990
1254990,5079746,6843598,1990
1254991,1145774,1145778,1990
1254992,1146916,1146931,1990
1254994,1145762,1145768,1990
1254996,1146882,5078545,1990
1254997,6843630,6843751,1990
1254998,5079800,6843657,1990
1254999,5078531,6843625,1990
1255000,1141222,6843613,1990
1255251,6843601,6843633,1990
1255252,1141240,5092169,1990
1255254,1138032,5092045,1990
1255255,5078537,5079732,1990
1255256,1146888,1146923,1990
1255257,1141218,5078903,1990
1255258,1141581,2869722,1990
1255259,2869698,5078505,1990
1255260,6843602,NA,1990
