id,dam,sire,Year
4000216,5117200,5146051,2003
4000217,5121009,5121156,2003
4000218,4001548,5097093,2003
4000219,5148360,5155848,2003
4000220,5109519,5109598,2003
4000221,5155824,5216902,2003
4000222,5145849,5146022,2003
4000223,5092553,5097083,2003
4000224,5121011,5145070,2003
4000225,5147582,5222586,2003
4000226,5144672,5187974,2003
4000227,5142991,5145400,2003
4000228,5098256,5109287,2003
4000229,5121160,5121213,2003
4000230,5127633,5132866,2003
4000231,4004538,5116011,2003
4000232,5116063,5116152,2003
4000233,4005103,5098272,2003
4000234,5097810,5121057,2003
4000235,4002432,5109575,2003
4000236,5092775,5132279,2003
4000237,5142882,5144316,2003
4000238,5117191,5184945,2003
4000239,5142871,5142880,2003
4000240,5109227,5109589,2003
4000241,5092126,5092133,2003
4000242,4003849,5098239,2003
4000243,5093454,5097805,2003
4000244,5093374,5116147,2003
4000245,5098718,5122234,2003
4000246,5077863,5097988,2003
4000247,4009243,5122267,2003
4000248,5072392,5116053,2003
4000249,5098713,5110464,2003
4000250,5097563,5109223,2003
4000251,5127506,5216952,2003
4000252,5077916,5183051,2003
4000253,5116338,5216965,2003
4000254,5098800,5109723,2003
4000255,5116286,5117476,2003
4000256,5110198,5110211,2003
4000257,5142695,5144216,2003
4000258,5144219,5144260,2003
4000259,5146036,5222554,2003
4000260,5054602,5054660,2003
4000262,5144006,5144226,2003
4000263,5092193,5142809,2003
4000264,4003783,5187931,2003
4000265,5132395,5145050,2003
4000266,5148060,5222767,2003
4000267,5144132,5184931,2003
4000268,5098637,5216908,2003
4000269,5146021,5146023,2003
4000270,5142686,5144135,2003
4000271,5116285,5132311,2003
4000272,5143036,5147000,2003
4000273,5142681,5147032,2003
4000274,5145043,5147357,2003
4000275,5122334,5146012,2003
4000276,5142682,5184038,2003
4000277,5222553,5222729,2003
4000278,5146421,5147645,2003
4000279,4003114,5116881,2003
4000280,5098648,5110221,2003
4000281,5110223,5122325,2003
4000282,5147644,5148274,2003
4000283,5142694,5156280,2003
4000284,5222552,5222725,2003
4000285,5132371,5222766,2003
4000286,5122342,5216907,2003
4000287,5092316,5127469,2003
4000288,5122326,5127686,2003
4000289,5098068,5122350,2003
4000290,5144244,5146038,2003
4000291,5146046,5147630,2003
4000292,5183057,5222727,2003
4000293,5097300,5116180,2003
4000294,5147106,5164242,2003
4000295,5109647,5144817,2003
4000296,5108800,5216953,2003
4000297,5127483,5142726,2003
4000298,5146895,5148129,2003
4000299,5117551,5122006,2003
4000300,5147410,5147414,2003
4000301,5222605,5222712,2003
4000302,5097762,5097763,2003
4000303,5108774,5108775,2003
4000304,5116708,5222606,2003
4000305,4009275,5117909,2003
4000306,5155705,5222664,2003
4000307,5079096,5187924,2003
4000308,5099000,5146159,2003
4000309,5155938,5156200,2003
4000311,5097216,5146997,2003
4000312,5132469,5132482,2003
4000313,5079076,5147020,2003
4000314,5143450,5145896,2003
4000315,5146228,5146475,2003
4000316,5222665,5222748,2003
4000317,5143791,5184932,2003
4000318,5117030,5216977,2003
4000319,5146464,5222666,2003
4000320,5098998,5146160,2003
4000321,5143459,5155718,2003
4000322,5072803,5077510,2003
4000323,5132079,5183135,2003
4000324,5222667,5222750,2003
4000325,5132233,5144182,2003
4000326,5132381,5143940,2003
4000327,5121310,5127668,2003
4000328,5087826,5097751,2003
4000329,5127897,5187944,2003
4000330,5098987,5146148,2003
4000331,5132067,5143745,2003
4000332,5222669,5222759,2003
4000333,5098953,5110429,2003
4000334,5117266,5132491,2003
4000335,5098995,5109235,2003
4000336,5145928,5147019,2003
4000337,5098999,5132480,2003
4000338,5222670,5222751,2003
4000339,5077528,5147045,2003
4000340,5117327,5121268,2003
4000341,5132479,5222758,2003
4000342,5116076,5222671,2003
4000343,5187925,5222672,2003
4000344,5143449,5145909,2003
4000345,5143421,5143426,2003
4000346,5132453,5143747,2003
4000347,4009154,5117311,2003
4000348,5145967,5147801,2003
4000349,5097648,5097750,2003
4000350,5117283,5184916,2003
4000351,5147812,5147816,2003
4000352,5079146,5155726,2003
4000353,5121338,5143715,2003
4000354,5109915,5117014,2003
4000355,5079074,5097745,2003
4000356,5132102,5143703,2003
4000357,5132425,5145956,2003
4000358,5132442,5143484,2003
4000359,5117281,5217787,2003
4000360,5110438,5144506,2003
4000361,5121273,5144520,2003
4000362,5132421,5143710,2003
4000363,4009247,5132447,2003
4000364,5117218,5222777,2003
4000365,5110369,5222675,2003
4000366,5098971,5110365,2003
4000367,5222676,5222782,2003
4000368,5145955,5222754,2003
4000369,5110300,5132129,2003
4000370,5117140,5132139,2003
4000371,5079102,5079113,2003
4000372,5117217,5216923,2003
4000373,5145910,5145958,2003
4000374,5222677,5222755,2003
4000375,5110407,5183137,2003
4000376,5144046,5216922,2003
4000377,5110385,5121331,2003
4000378,5132429,5145935,2003
4000379,5222678,5222756,2003
4000380,5072352,5145080,2003
4000381,5132456,5132459,2003
4000382,5143752,5183101,2003
4000383,5143873,5148282,2003
4000384,5222662,5222747,2003
4000385,5222663,5222746,2003
4000386,4009283,5093052,2003
4000387,5148055,5216954,2003
4000388,5072656,5117704,2003
4000389,5097172,5109617,2003
4000390,5121438,5187936,2003
4000391,5222577,5222761,2003
4000392,5098871,5142836,2003
4000393,5143402,5146847,2003
4000394,5117053,5145800,2003
4000395,4009266,5145798,2003
4000396,5147512,5155816,2003
4000397,5121436,5127575,2003
4000399,5054555,5127555,2003
4000400,5121405,5222778,2003
4000401,5222576,5222674,2003
4000402,5093335,5183111,2003
4000403,4009268,5079285,2003
4000404,5117407,5121462,2003
4000405,5116899,5117415,2003
4000406,5098864,5145091,2003
4000407,5116871,5127340,2003
4000408,5147509,5148354,2003
4000409,5116877,5145836,2003
4000410,5116956,5144461,2003
4000411,5121425,5143078,2003
4000412,5098394,5109530,2003
4000413,5145801,5147519,2003
4000414,5144376,5144392,2003
4000415,5079222,5144399,2003
4000416,4011348,5098385,2003
4000417,5222549,5222762,2003
4000418,5098024,5216932,2003
4000419,5098860,5098867,2003
4000420,5116099,5116862,2003
4000421,5222548,5222682,2003
4000422,5121073,5127507,2003
4000423,5145363,5145841,2003
4000424,5222593,5222680,2003
4000425,5108644,5202980,2003
4000426,5145084,5187966,2003
4000427,5132893,5145083,2003
4000428,5117723,5216982,2003
4000430,5145381,5147080,2003
4000431,5222637,5222690,2003
4000432,5146177,5146213,2003
4000433,5143977,5145395,2003
4000434,5222638,5222691,2003
4000435,5143970,5187984,2003
4000436,5121457,5127810,2003
4000437,5132895,5143128,2003
4000438,5116589,5121465,2003
4000439,5143111,5145390,2003
4000440,5110131,5116506,2003
4000442,5132867,5132876,2003
4000443,5145399,5216984,2003
4000444,5093033,5116133,2003
4000445,5222642,5222694,2003
4000446,5080135,5110408,2003
4000447,5222643,5222695,2003
4000448,4000752,5098143,2003
4000450,5121393,5127630,2003
4000452,5122295,5143355,2003
4000453,5093292,5097488,2003
4000454,5143409,5155692,2003
4000455,5121270,5142854,2003
4000456,4009270,5216963,2003
4000457,5155693,5183038,2003
4000458,5143398,5146502,2003
4000459,5144685,5187934,2003
4000460,5143030,5216910,2003
4000461,4005867,5216973,2003
4000462,5109808,5121217,2003
4000463,5143682,5216974,2003
4000464,5121370,5143695,2003
4000465,5222591,5222728,2003
4000466,5143363,5217005,2003
4000467,5117064,5222679,2003
4000468,5072496,5143071,2003
4000469,5127957,5143367,2003
4000470,5144389,5146025,2003
4000471,5097634,5146995,2003
4000472,5145700,5145870,2003
4000473,5132870,5147040,2003
4000474,5093290,5145081,2003
4000475,5148439,5156126,2003
4000476,5097632,5216911,2003
4000477,5110297,5132516,2003
4000478,5109444,5144463,2003
4000479,5080169,5097637,2003
4000618,5143505,5144386,2004
4000619,5143348,5144850,2004
4000620,5144614,5145766,2004
4000621,4007622,5077883,2004
4000622,5078433,5117185,2004
4000623,4009797,5109544,2004
4000624,5072003,5121097,2004
4000625,5144687,5145991,2004
4000626,5098785,5116199,2004
4000627,5145750,5146789,2004
4000628,5054742,5097953,2004
4000629,4001494,5097946,2004
4000630,5147507,5148322,2004
4000631,5147516,5148189,2004
4000632,5109515,5110466,2004
4000633,5132390,5144457,2004
4000634,5132356,5132359,2004
4000635,5116243,5121406,2004
4000636,5117998,5148076,2004
4000637,4009289,5122307,2004
4000638,5146515,5148367,2004
4000639,5142760,5143674,2004
4000640,5144306,5144324,2004
4000641,5108959,5142779,2004
4000642,4000558,5121072,2004
4000643,5127654,5144604,2004
4000644,5146785,5147871,2004
4000645,5147952,5222543,2004
4000646,5155830,5222544,2004
4000647,5097078,5187976,2004
4000648,5092552,5117194,2004
4000649,5147739,5147891,2004
4000650,5144665,5146767,2004
4000651,5109292,5144628,2004
4000652,5116150,5122286,2004
4000653,4000557,5148306,2004
4000654,5146823,5183987,2004
4000655,5127615,5144331,2004
4000656,5117351,5117948,2004
4000657,4004542,5146806,2004
4000658,5146801,5217756,2004
4000659,5098257,5217753,2004
4000660,5144660,5145816,2004
4000661,4011887,5142799,2004
4000662,4013052,5144692,2004
4000663,5116174,5117938,2004
4000664,5127610,5142886,2004
4000665,4003034,4011898,2004
4000666,4003026,5183015,2004
4000667,5117161,5117371,2004
4000668,5147969,5183010,2004
4000669,5117192,5217755,2004
4000670,4009241,4009244,2004
4000671,5109033,5109572,2004
4000672,5144320,5144674,2004
4000673,5092739,5116030,2004
4000674,5077858,5127614,2004
4000675,5117951,5142873,2004
4000677,5079181,5092829,2004
4000678,5110475,5117988,2004
4000679,5122237,5132302,2004
4000680,5146818,5164468,2004
4000681,4003829,5121184,2004
4000682,5093358,5093452,2004
4000683,5143352,5222545,2004
4000684,5155851,5156100,2004
4000685,5127479,5127671,2004
4000686,5142783,5147872,2004
4000687,5109000,5184987,2004
4000688,5146846,5148401,2004
4000689,5147984,5217752,2004
4000690,5109222,5116158,2004
4000691,5097947,5117164,2004
4000692,5054634,5109555,2004
4000693,4007051,5109250,2004
4000694,5121452,5127446,2004
4000695,5098861,5110325,2004
4000696,5116857,5147039,2004
4000697,5132376,5144387,2004
4000698,5132384,5148379,2004
4000699,5145834,5147515,2004
4000700,5144458,5144547,2004
4000701,5078399,5109072,2004
4000702,5127935,5144354,2004
4000703,5097171,5184908,2004
4000704,5121421,5143063,2004
4000705,5097178,5143035,2004
4000706,5143058,5202955,2004
4000707,5146835,5217000,2004
4000708,5144569,5146849,2004
4000709,5098366,5098378,2004
4000710,5098847,5146166,2004
4000713,5093425,5098869,2004
4000714,5078356,5146059,2004
4000715,5147504,5147830,2004
4000716,4000480,4000560,2004
4000717,5147288,5148365,2004
4000718,5121449,5217793,2004
4000719,5098862,5110319,2004
4000796,5146046,5147630,2005
4000797,5183057,5222727,2005
4000798,5097300,5116180,2005
4000799,5222551,5222765,2005
4000800,5147865,5155974,2005
4000801,5122345,5217004,2005
4000802,5092316,5127469,2005
4000803,5093230,5147641,2005
4000804,5122326,5127686,2005
4000805,5144244,5146038,2005
4000806,5148256,5202973,2005
4000807,5183422,5223082,2005
4000809,5098648,5110221,2005
4000810,5142524,5146550,2005
4000811,5148272,5222726,2005
4000812,5116308,5156280,2005
4000813,4003114,5116881,2005
4000814,5147664,5164295,2005
4000815,5222553,5222729,2005
4000816,4000762,5098812,2005
4000817,4000763,5164305,2005
4000818,5122334,5146012,2005
4000819,5145043,5147357,2005
4000820,5143036,5147000,2005
4000821,5116285,5132311,2005
4000822,5098637,5216908,2005
4000823,5144132,5184931,2005
4000824,4003783,5187931,2005
4000825,5144006,5144226,2005
4000826,5093222,5148074,2005
4000827,5127697,5142699,2005
4000828,5122401,5127459,2005
4000829,5132395,5145050,2005
4000830,5122390,5132246,2005
4000831,5148060,5222767,2005
4000832,5146021,5146023,2005
4000833,5142686,5144135,2005
4000834,5146036,5222554,2005
4000835,5144219,5144260,2005
4000836,5142695,5144216,2005
4000837,5110198,5110211,2005
4000838,5116286,5117476,2005
4000839,5144848,5146404,2005
4000840,5122411,5127688,2005
4000841,5077916,5183051,2005
4000842,5097108,5097214,2005
4000843,5183840,5183841,2005
4000844,4011348,5098385,2005
4000845,5222548,5222682,2005
4000847,5116858,5147063,2005
4000848,5144376,5144392,2005
4000849,4000723,5132369,2005
4000850,5116871,5127340,2005
4000851,5117407,5121462,2005
4000852,5116956,5144461,2005
4000853,5116899,5117415,2005
4000854,5098394,5109530,2005
4000855,4000751,5110318,2005
4000856,5121436,5127575,2005
4000857,5222576,5222674,2005
4000858,5117053,5145800,2005
4000859,5117408,5121412,2005
4000860,5143402,5146847,2005
4000861,5098871,5142836,2005
4000862,5222577,5222761,2005
4000863,4000559,5132385,2005
4000864,5132209,5132364,2005
4000865,5156051,5187234,2005
4000866,5121073,5127507,2005
4000867,4000752,5098143,2005
4000868,5121393,5127630,2005
4000869,5144667,5146798,2005
4000870,5132367,5184930,2005
4000871,5122295,5143355,2005
4000872,5093292,5097488,2005
4000873,5121270,5142854,2005
4000874,4009270,5216963,2005
4000875,5143398,5146502,2005
4000876,5144685,5187934,2005
4000877,5143030,5216910,2005
4000878,4000773,5156121,2005
4000879,5109808,5121217,2005
4000880,4000794,5183039,2005
4000881,5143682,5216974,2005
4000882,5121370,5143695,2005
4000883,5077608,5145880,2005
4000884,5072496,5143071,2005
4000885,5145808,5146014,2005
4000886,5143363,5217005,2005
4000887,5072786,5072790,2005
4000888,5072789,5108834,2005
4000889,5127957,5143367,2005
4000890,4000786,5097965,2005
4000891,5132202,5183767,2005
4000892,5093290,5145081,2005
4000893,5132522,5146129,2005
4000894,5108847,5216950,2005
4000895,5098929,5110295,2005
4000896,5183022,5183676,2005
4000897,5097636,5110341,2005
4000898,5093266,5108857,2005
4000899,5148439,5156126,2005
4000900,5097632,5216911,2005
4000901,5109444,5144463,2005
4000902,5110297,5132516,2005
4000903,5132509,5143676,2005
4000904,5092655,5109612,2005
4000905,5127471,5183462,2005
4000906,5097102,5116432,2005
4000907,5077825,5078343,2005
4000908,4000743,5183469,2005
4000909,5092669,5216913,2005
4000910,5146265,5147364,2005
4000911,5098654,5217723,2005
4000912,4000603,5147987,2005
4000913,5156396,5183542,2005
4000914,5127266,5155970,2005
4000915,5145276,5216987,2005
4000916,4003029,5146264,2005
4000917,5148465,5156374,2005
4000918,5222555,5222683,2005
4000919,5092106,5109043,2005
4000920,5117946,5216993,2005
4000921,5222556,5222684,2005
4000922,5116480,5147004,2005
4000924,5222560,5222658,2005
4000925,5146283,5146578,2005
4000926,5222558,5222685,2005
4000927,4000561,5223064,2005
4000928,5109491,5184994,2005
4000929,5097129,5098618,2005
4000930,5098615,5142939,2005
4000931,5092503,5132340,2005
4000932,5222559,5222647,2005
4000933,5108655,5127268,2005
4000934,5092150,5116112,2005
4000935,5108648,5127073,2005
4000936,4013668,5144218,2005
4000937,5146259,5146273,2005
4000938,5164325,5187169,2005
4000939,5127527,5156283,2005
4000940,5077812,5078428,2005
4000941,5116888,5127216,2005
4000942,5144775,5147732,2005
4000943,5143006,5222565,2005
4000944,5222566,5222657,2005
4000945,5072082,5121229,2005
4000946,5222567,5222710,2005
4000947,5117628,5127140,2005
4000948,5142605,5142629,2005
4000949,5117514,5222769,2005
4000950,5117511,5143890,2005
4000951,5146318,5146325,2005
4000952,5098592,5147041,2005
4000953,5122454,5127585,2005
4000954,5109938,5127592,2005
4000955,5145003,5202916,2005
4000957,5142572,5187968,2005
4000958,5108675,5116353,2005
4000959,5098726,5127149,2005
4000960,5108702,5127163,2005
4000961,5144700,5144926,2005
4000962,5072123,5080035,2005
4000963,5098597,5109750,2005
4000964,5098594,5145073,2005
4000965,5077917,5121065,2005
4000967,5079413,5108677,2005
4000968,5072079,5183146,2005
4000969,5109697,5116449,2005
4000970,5116369,5144959,2005
4000971,5097126,5097967,2005
4000972,5116404,5183147,2005
4000973,5222561,5222768,2005
4000974,5127227,5143883,2005
4000975,5079390,5079393,2005
4000976,4000564,5223067,2005
4000977,5142562,5143888,2005
4000978,5080325,5142648,2005
4000979,4000732,5108666,2005
4000980,5110470,5127204,2005
4000981,4000734,5079492,2005
4000982,5097116,5116409,2005
4000983,5142563,5145001,2005
4000984,5222562,5222730,2005
4000985,5156258,5222570,2005
4000986,5116390,5144261,2005
4000987,5127141,5222653,2005
4000988,5127533,5143892,2005
4000990,5144096,5155754,2005
4000991,5072118,5216951,2005
4000992,5092607,5127525,2005
4000993,4003827,5222652,2005
4000994,5127530,5144999,2005
4000995,5097219,5109779,2005
4000996,5117599,5222569,2005
4000997,5127248,5145000,2005
4000998,4000765,5147491,2005
4000999,5132978,5144950,2005
4001000,5142942,5216940,2005
4001001,5144064,5145233,2005
4001002,5144091,5202915,2005
4001003,4000735,5072080,2005
4001004,5097141,5187941,2005
4001005,5142585,5216938,2005
4001006,4000790,5144092,2005
4001007,5142556,5142596,2005
4001008,5078324,5187919,2005
4001009,4012503,5216969,2005
4001010,5184948,5216968,2005
4001011,4000776,NA,2005
4001012,5222663,5222746,2005
4001013,5222662,5222747,2005
4001014,5143873,5148282,2005
4001015,5143752,5183101,2005
4001016,4005867,5216973,2005
4001017,5098823,5109660,2005
4001018,5127388,5143527,2005
4001019,5109728,5116385,2005
4001021,5144184,5144916,2005
4001022,4009195,5146056,2005
4001023,5144910,5144920,2005
4001024,5109707,5202977,2005
4001025,5156222,5156309,2005
4001026,5121134,5222720,2005
4001027,5127410,5144454,2005
4001028,4013049,5147459,2005
4001029,4000736,5142654,2005
4001030,5098587,5108743,2005
4001031,5097306,5127380,2005
4001032,5109718,5116786,2005
4001033,5127284,5144883,2005
4001034,4000787,5183638,2005
4001035,5156311,5184007,2005
4001036,5117587,5144909,2005
4001037,5093299,5156321,2005
4001038,5142657,5144907,2005
4001039,5092255,5093243,2005
4001040,5079013,5109621,2005
4001041,5097303,5146115,2005
4001042,5077709,5080351,2005
4001043,4008484,5143618,2005
4001044,5117562,5127310,2005
4001045,5116018,5122097,2005
4001046,5127505,5216967,2005
4001047,5098745,5117571,2005
4001048,4000737,5116098,2005
4001049,5098577,5187956,2005
4001050,5092304,5092640,2005
4001051,5109705,5222604,2005
4001052,5109647,5144817,2005
4001053,5080327,5143525,2005
4001054,5117551,5122006,2005
4001055,5147106,5164242,2005
4001056,5156208,5216931,2005
4001057,4000791,5147409,2005
4001058,5222605,5222712,2005
4001059,5097762,5097763,2005
4001060,5108774,5108775,2005
4001061,4009275,5117909,2005
4001062,5110145,5142739,2005
4001063,5117133,5184933,2005
4001064,5222678,5222756,2005
4001065,4000753,5117267,2005
4001066,5132429,5145935,2005
4001067,5110385,5121331,2005
4001068,5121322,5144505,2005
4001069,5110369,5222675,2005
4001070,4009247,5132447,2005
4001071,5117218,5222777,2005
4001072,5132421,5143710,2005
4001073,5132425,5145956,2005
4001074,5132102,5143703,2005
4001075,5098966,5148037,2005
4001076,5079074,5097745,2005
4001077,5109915,5117014,2005
4001078,5110438,5144506,2005
4001079,5098971,5110365,2005
4001080,4000754,4000777,2005
4001081,5117283,5184916,2005
4001082,5116079,5156273,2005
4001083,5121338,5143715,2005
4001084,5097755,5145938,2005
4001085,5077576,5187926,2005
4001086,5097757,5156148,2005
4001087,5077580,5108862,2005
4001088,4009154,5117311,2005
4001089,4000755,5132453,2005
4001090,5143449,5145909,2005
4001091,5222673,5222757,2005
4001092,5143744,5146454,2005
4001093,5143421,5143426,2005
4001094,4000756,5146456,2005
4001095,4000793,5146231,2005
4001096,5187925,5222672,2005
4001097,5116076,5222671,2005
4001098,5155736,5183687,2005
4001099,4000779,5147782,2005
4001100,5077528,5147045,2005
4001101,5079355,5144441,2005
4001102,4009276,5202911,2005
4001103,4009258,5077799,2005
4001104,5109835,5222714,2005
4001106,5098127,5116846,2005
4001107,5132171,5143560,2005
4001108,5132822,5144081,2005
4001109,5122113,5222649,2005
4001110,5108539,5146126,2005
4001111,5148122,5216948,2005
4001112,5147737,5217739,2005
4001113,5145653,5222636,2005
4001114,4012427,5147105,2005
4001115,5147144,5148305,2005
4001116,5127822,5142960,2005
4001117,5216962,5222635,2005
4001118,5122019,5127823,2005
4001119,5132799,5142733,2005
4001120,5144435,5222646,2005
4001121,5109987,5216997,2005
4001122,4000775,5183241,2005
4001123,5142914,5217737,2005
4001125,5132914,5144721,2005
4001126,5145694,5146346,2005
4001127,5109114,5109829,2005
4001128,5146593,5216930,2005
4001129,5145224,5148249,2005
4001130,5098119,5121042,2005
4001131,5147250,5164237,2005
4001132,5097503,5098095,2005
4001133,5144696,5144698,2005
4001134,5132154,5148250,2005
4001135,5109982,5121029,2005
4001136,4000792,5222721,2005
4001137,5147245,5148162,2005
4001138,5156487,5164364,2005
4001139,5121027,5132222,2005
4001140,5109101,5109933,2005
4001141,5147351,5164236,2005
4001143,5142900,5142905,2005
4001144,5097403,5109108,2005
4001145,5156237,5184573,2005
4001146,4000770,5143952,2005
4001147,5098155,5122452,2005
4001148,5222609,5222722,2005
4001149,5222607,5222724,2005
4001150,5093146,5146088,2005
4001151,5122492,5144395,2005
4001152,5147076,5148132,2005
4001153,5092852,5187950,2005
4001154,5098123,5109192,2005
4001155,5110075,5148042,2005
4001156,5148134,5156228,2005
4001157,5148195,5148225,2005
4001158,5223072,5223073,2005
4001159,4000767,5109903,2005
4001160,5127594,5144956,2005
4001161,5098092,5146101,2005
4001162,5109753,5127103,2005
4001163,5109941,5116824,2005
4001164,5117630,5148043,2005
4001165,5202926,5223094,2005
4001166,5078248,5146557,2005
4001167,5116777,5132915,2005
4001168,5109902,5116415,2005
